CallID,CustomerID,AgentID,CallTimestamp,CallDurationSeconds,PairingModel,SaleMade,SaleValue
CALL10000,C2747,A1022,2025-03-24 04:27:34.831646,689,AI-Optimized,True,231.42
CALL10001,C2216,A1021,2025-04-11 01:29:21.927544,43,Standard Routing,False,0.0
CALL10002,C2265,A1015,2025-03-04 13:05:43.130665,1198,AI-Optimized,True,198.05
CALL10003,C2780,A1013,2025-08-13 04:28:38.221590,1425,Standard Routing,False,0.0
CALL10004,C2649,A1010,2025-05-05 15:26:33.817039,491,AI-Optimized,False,0.0
CALL10005,C2714,A1025,2025-01-04 12:38:51.948431,1150,Standard Routing,False,0.0
CALL10006,C2236,A1019,2025-05-12 12:51:18.971670,68,Standard Routing,False,0.0
CALL10007,C2289,A1007,2025-04-24 02:32:28.020411,79,AI-Optimized,False,0.0
CALL10008,C2588,A1034,2025-07-11 08:24:35.340796,243,AI-Optimized,True,450.39
CALL10009,C2492,A1048,2025-04-10 19:05:20.132817,149,Standard Routing,False,0.0
CALL10010,C2135,A1045,2025-01-09 16:18:33.934793,1617,AI-Optimized,False,0.0
CALL10011,C2370,A1021,2025-06-25 23:48:17.396374,1118,Standard Routing,False,0.0
CALL10012,C2585,A1013,2025-10-02 06:23:23.432778,1448,Standard Routing,False,0.0
CALL10013,C2921,A1027,2025-04-15 16:13:25.999105,840,Standard Routing,True,341.12
CALL10014,C2316,A1046,2025-08-14 16:29:29.623675,74,Standard Routing,False,0.0
CALL10015,C2239,A1029,2025-03-14 18:58:04.545745,626,Standard Routing,False,0.0
CALL10016,C2044,A1007,2025-05-19 11:44:43.364222,1333,AI-Optimized,False,0.0
CALL10017,C2863,A1019,2025-03-30 05:39:05.488765,387,AI-Optimized,False,0.0
CALL10018,C2496,A1030,2025-01-20 08:21:40.794294,185,AI-Optimized,True,179.71
CALL10019,C2401,A1009,2025-04-26 20:57:00.007630,1514,AI-Optimized,True,384.88
CALL10020,C2828,A1043,2025-07-28 13:51:58.305969,1136,Standard Routing,False,0.0
CALL10021,C2830,A1007,2025-10-09 11:20:20.426407,788,Standard Routing,False,0.0
