OrderID,OrderDate,CustomerID,Country,State,City,ProductCategory,ProductName,QuantitySold,UnitPrice,UnitCost,SaleValue,Profit,CustomerSegment,ShipmentStatus
10000,2022-05-28 07:18:40.831935,C2582,Germany,Berlin,Port Brookechester,Home Goods,Coffee Maker,2,437.86,220.12,875.72,435.48,High-Value,Returned
10001,2022-07-23 17:52:42.032492,C2520,UK,England,Baxterborough,Clothing,Jeans,2,359.8,150.35,719.6,418.9,Mid-Value,In Transit
10002,2023-03-02 13:37:19.955989,C2809,Brazil,São Paulo,Heathertown,Home Goods,Blender,1,326.47,132.64,326.47,193.83,Mid-Value,Delivered
10003,2022-06-17 11:49:50.670477,C2575,Germany,Hamburg,North Geraldfort,Clothing,Jeans,3,126.07,65.6,378.21,181.41,Low-Value,Returned
10004,2023-07-21 09:47:49.861463,C2739,USA,Texas,New Debbie,Books,Biography,3,400.93,195.95,1202.79,614.94,High-Value,Delivered
10005,2024-05-08 18:45:20.978232,C2825,Germany,Berlin,Port Donnaton,Home Goods,Vacuum Cleaner,2,316.9,185.61,633.8,262.58,Low-Value,Returned
10006,2022-04-12 21:52:16.880378,C2850,Germany,Bavaria,East Rachel,Clothing,Sweater,1,85.73,36.86,85.73,48.87,High-Value,Processing
10007,2024-01-09 07:28:50.679654,C2845,Brazil,São Paulo,Port Raymond,Electronics,Smartwatch,2,152.34,81.03,304.68,142.62,High-Value,Returned
10008,2022-09-15 02:43:43.399487,C2455,UK,Northern Ireland,Andreastad,Books,Fiction Novel,3,57.67,38.98,173.01,56.07,Low-Value,Processing
10009,2023-12-07 08:13:35.678236,C2503,Brazil,São Paulo,Jodibury,Clothing,Jacket,2,240.2,152.21,480.4,175.98,Mid-Value,Delivered
10010,2022-08-17 02:51:57.515617,C2468,USA,Texas,Riveratown,Home Goods,Coffee Maker,4,108.5,53.34,434.0,220.64,Low-Value,Processing
10011,2022-01-30 21:34:36.060613,C2204,Brazil,Minas Gerais,West Timothy,Books,Science Journal,3,212.18,88.49,636.54,371.07,Mid-Value,Delivered
10012,2022-07-05 05:27:21.572835,C2447,UK,England,West Roy,Books,Science Journal,2,264.37,142.35,528.74,244.04,Low-Value,Returned
10013,2022-08-23 03:02:55.551360,C2982,UK,Northern Ireland,North Eric,Books,Cookbook,1,396.39,233.32,396.39,163.07,High-Value,Processing
10014,2023-11-01 07:55:34.758602,C2540,Germany,Bavaria,West Andrealand,Clothing,Jeans,3,104.94,77.1,314.82,83.52,Mid-Value,Returned
10015,2022-10-25 07:35:40.466772,C2930,Brazil,Rio de Janeiro,North Michaelberg,Books,Cookbook,2,397.05,200.78,794.1,392.54,Mid-Value,Processing
10016,2023-05-28 08:17:52.074351,C2601,India,Karnataka,Ericaberg,Books,Science Journal,4,436.54,239.51,1746.16,788.12,Low-Value,Returned
10017,2022-09-22 22:22:08.284708,C2746,USA,Florida,Chungberg,Electronics,Smartwatch,2,442.22,310.48,884.44,263.48,High-Value,In Transit
10018,2022-11-21 14:12:29.877078,C2392,USA,Florida,West Christopherville,Books,Biography,5,343.09,254.04,1715.45,445.25,Mid-Value,Delivered
10019,2023-05-14 17:09:54.298247,C2971,USA,New York,Brownville,Electronics,Laptop,4,248.91,117.03,995.64,527.52,High-Value,Returned
10020,2023-06-06 00:58:52.490960,C2109,Brazil,Minas Gerais,Lake John,Electronics,Smartphone,5,414.14,244.65,2070.7,847.45,Low-Value,In Transit
10021,2024-02-17 08:52:02.206847,C2033,Germany,Hesse,Rodriguezshire,Electronics,Laptop,1,209.46,136.32,209.46,73.14,High-Value,Processing
10022,2023-06-26 04:56:09.273854,C2118,USA,Florida,South Lori,Electronics,Smartwatch,2,326.8,229.51,653.6,194.58,Mid-Value,Returned
10023,2024-02-25 06:49:06.462297,C2132,India,Tamil Nadu,Robinsonland,Electronics,Smartwatch,3,60.71,32.32,182.13,85.17,High-Value,Delivered
10024,2023-08-06 19:35:47.637637,C2752,UK,Scotland,Kennethbury,Books,Science Journal,1,307.06,157.47,307.06,149.59,High-Value,In Transit
10025,2023-06-09 19:24:50.542395,C2440,Germany,Hesse,Taraville,Books,Cookbook,5,32.5,15.1,162.5,87.0,Mid-Value,Returned
10026,2023-10-04 16:23:02.667457,C2604,UK,Northern Ireland,West Jonside,Electronics,Smartwatch,2,136.28,82.33,272.56,107.9,Low-Value,In Transit
10027,2023-11-07 23:15:10.631096,C2132,UK,Wales,Craigbury,Electronics,Headphones,2,37.62,15.72,75.24,43.8,Low-Value,Delivered
10028,2022-06-09 11:19:25.356501,C2092,Germany,Hesse,Port Heather,Electronics,Smartwatch,1,33.16,19.97,33.16,13.19,High-Value,Delivered
10029,2023-10-27 01:25:56.509067,C2080,UK,Wales,North Steven,Home Goods,Coffee Maker,3,373.01,190.79,1119.03,546.66,Low-Value,Processing
10030,2024-04-25 04:52:21.740154,C2153,USA,California,Port Angela,Books,Fiction Novel,3,143.28,65.29,429.84,233.97,Low-Value,Processing
10031,2024-04-24 13:15:27.118107,C2110,UK,Wales,Lake Carlosbury,Books,Fiction Novel,4,259.92,123.92,1039.68,544.0,Mid-Value,Delivered
10032,2024-02-04 19:21:31.465677,C2196,Germany,Bavaria,Peterville,Home Goods,Vacuum Cleaner,3,223.13,115.33,669.39,323.4,Low-Value,Delivered
10033,2022-01-19 01:59:05.557527,C2981,Brazil,Minas Gerais,East Bradleyfurt,Books,Biography,2,207.24,119.39,414.48,175.7,High-Value,In Transit
10034,2023-12-11 08:23:51.491610,C2384,India,Maharashtra,Port Holly,Clothing,T-Shirt,5,234.31,151.67,1171.55,413.2,Low-Value,In Transit
10035,2023-10-24 03:25:43.211173,C2764,Germany,Bavaria,Smithville,Electronics,Smartwatch,4,39.1,24.01,156.4,60.36,Mid-Value,Processing
10036,2023-05-17 08:55:44.751840,C2135,India,Karnataka,Lake Diana,Electronics,Smartwatch,5,241.89,179.6,1209.45,311.45,Mid-Value,Processing
10037,2022-12-14 16:50:36.996937,C2409,India,Maharashtra,Christyborough,Electronics,Smartphone,2,248.89,118.72,497.78,260.34,High-Value,In Transit
10038,2022-12-14 04:34:00.561704,C2732,UK,Wales,South Raymond,Books,Biography,1,346.42,250.52,346.42,95.9,High-Value,Processing
10039,2023-09-23 12:09:28.445971,C2358,UK,Northern Ireland,Johnsonbury,Clothing,Sweater,3,410.24,222.07,1230.72,564.51,Low-Value,In Transit
10040,2022-12-15 15:51:24.435483,C2726,UK,Scotland,Susantown,Books,Science Journal,2,339.44,227.73,678.88,223.42,High-Value,Processing
10041,2023-01-01 12:56:01.100946,C2133,USA,California,Morenostad,Electronics,Headphones,5,283.47,185.11,1417.35,491.8,High-Value,In Transit
10042,2024-03-31 21:12:39.755508,C2370,Brazil,Minas Gerais,Carlastad,Home Goods,Towel Set,3,180.66,82.4,541.98,294.78,High-Value,Processing
10043,2022-08-15 04:55:51.896234,C2607,USA,Texas,Port Johnville,Clothing,T-Shirt,5,446.75,186.45,2233.75,1301.5,High-Value,In Transit
10044,2023-12-21 04:11:40.845522,C2098,Germany,Bavaria,North Kelly,Books,Biography,3,22.39,16.57,67.17,17.46,Mid-Value,Processing
10045,2022-06-03 03:13:24.451639,C2345,Brazil,São Paulo,Ericfurt,Books,Cookbook,4,123.95,74.91,495.8,196.16,Mid-Value,Delivered
10046,2022-03-11 14:06:10.899242,C2064,Germany,Hesse,New Tony,Home Goods,Towel Set,2,101.16,49.34,202.32,103.64,Mid-Value,Delivered
10047,2022-08-15 22:53:48.079443,C2421,USA,California,Bryantown,Books,Cookbook,1,420.07,241.53,420.07,178.54,High-Value,Delivered
10048,2022-09-19 04:12:06.509015,C2658,India,Karnataka,Joshuahaven,Electronics,Laptop,2,146.61,86.0,293.22,121.22,Mid-Value,Processing
10049,2022-09-30 01:43:52.421559,C2031,USA,Texas,New Kyleberg,Clothing,T-Shirt,1,396.19,206.98,396.19,189.21,Low-Value,Delivered
10050,2023-08-16 01:00:46.651742,C2056,Brazil,Minas Gerais,New Corey,Home Goods,Vacuum Cleaner,1,273.87,131.34,273.87,142.53,High-Value,In Transit
10051,2024-01-19 14:52:45.644889,C2122,Germany,Berlin,Sheriland,Clothing,Sweater,2,171.3,118.68,342.6,105.24,Low-Value,Processing
10052,2023-12-30 01:54:32.837578,C2125,UK,Northern Ireland,Robertshire,Clothing,Jacket,5,364.06,224.5,1820.3,697.8,Mid-Value,Delivered
10053,2022-10-28 03:15:44.123219,C2412,India,Karnataka,Petersonside,Clothing,T-Shirt,3,251.84,171.16,755.52,242.04,High-Value,In Transit
